Component,Category,File,Type,Props,Emits,Slots,Variants,Accessibility,LoadingState,ErrorState,Responsive,DarkMode,DuplicateGroup,ImportedBy,ImportedByCount,USED,DeadOrUsed,Evidence
App.vue,,App.vue,vue,,,0,,none,none,none,none,none,,main.js,1,true,USED,Imported by 1 files
components/applications/AdminApplicationDetail.vue,applications,components/applications/AdminApplicationDetail.vue,vue,"defineProps({   application: { type: Object, required: true } })",defineEmits(['back']),0,,none,none,none,responsive-classes-detected,none,,,0,false,DEAD,No imports found
components/applications/AdminApplicationFilters.vue,applications,components/applications/AdminApplicationFilters.vue,vue,,defineEmits(['filter']),0,,aria-attributes-detected,none,none,responsive-classes-detected,none,,,0,false,DEAD,No imports found
components/applications/AdminApplicationReports.vue,applications,components/applications/AdminApplicationReports.vue,vue,,,0,,none,loading-prop-detected,error-prop-detected,none,none,,views/SuperAdmin/ApplicationReportsView.vue,1,true,USED,Imported by 1 files
components/applications/AdminApplicationsQueue.vue,applications,components/applications/AdminApplicationsQueue.vue,vue,,,0,,none,loading-prop-detected,error-prop-detected,none,none,,views/SuperAdmin/ApprovalsRequestsView.vue,1,true,USED,Imported by 1 files
components/applications/AdminApplicationTable.vue,applications,components/applications/AdminApplicationTable.vue,vue,"defineProps({   applications: { type: Array, default: ()",defineEmits(['select']),0,,none,loading-prop-detected,none,none,none,,,0,false,DEAD,No imports found
components/applications/AdminAssignmentPanel.vue,applications,components/applications/AdminAssignmentPanel.vue,vue,"defineProps({   application: { type: Object, required: true },   assignableUsers: { type: Array, default: ()","defineEmits(['assign', 'receive'])",0,,none,none,none,none,none,,components/applications/AdminApplicationDetail.vue,1,true,USED,Imported by 1 files
components/applications/AdminDecisionPanel.vue,applications,components/applications/AdminDecisionPanel.vue,vue,"defineProps({   application: { type: Object, required: true } })","defineEmits(['approve', 'reject', 'request-supplement'])",0,,none,loading-prop-detected,none,none,none,,components/applications/AdminApplicationDetail.vue,1,true,USED,Imported by 1 files
components/applications/ApplicationCard.vue,applications,components/applications/ApplicationCard.vue,vue,"defineProps({   application: { type: Object, required: true } })",,0,,none,none,none,none,none,,components/applications/ApplicationList.vue,1,true,USED,Imported by 1 files
components/applications/ApplicationDetailPanel.vue,applications,components/applications/ApplicationDetailPanel.vue,vue,"defineProps({   application: { type: Object, required: true },   schema: { type: Array, default: ()","defineEmits(['back', 'edit', 'cancel', 'resubmit'])",0,,none,none,none,responsive-classes-detected,none,,,0,false,DEAD,No imports found
