EndpointId,Controller,Action,HttpMethod,Route,IsAnonymous,HasAuthorize,CanonicalRoles,Policy,RequestDtos,ResponseDto,InjectedServices,InvokedMethods,DbSetsAccessed
EP-DC64CD27,AcademicSchedulingContextController,GetContext,GET,/api/academic-scheduling/context,false,true,,AcademicOperations,"","ApiResponseDto","IAcademicSchedulingContextService","IAcademicSchedulingContextService::GetContextAsync",""
EP-21EEA4E1,AcademicTermsController,GetTerms,GET,/api/master-data/academic-terms,false,true,,AcademicOperations,"AcademicTermQueryParameters","ApiResponseDto","IAcademicTermService","IAcademicTermService::GetTermsAsync",""
EP-39E908D4,AcademicTermsController,GetById,GET,/api/master-data/academic-terms/{id:int},false,true,,AcademicOperations,"","ApiResponseDto","IAcademicTermService","IAcademicTermService::GetByIdAsync",""
EP-E4D2D46C,AcademicTermsController,Create,POST,/api/master-data/academic-terms,false,true,,AcademicOperations,"CreateAcademicTermRequest","ApiResponseDto","IAcademicTermService","IAcademicTermService::CreateAsync",""
EP-8B4469D4,AcademicTermsController,Update,PUT,/api/master-data/academic-terms/{id:int},false,true,,AcademicOperations,"UpdateAcademicTermRequest","ApiResponseDto","IAcademicTermService","IAcademicTermService::UpdateAsync",""
EP-6EF59E82,AcademicTermsController,Delete,DELETE,/api/master-data/academic-terms/{id:int},false,true,,AcademicOperations,"","ApiResponseDto","IAcademicTermService","IAcademicTermService::DeleteAsync",""
EP-71579EB4,AcademicTermsController,Lock,PATCH,/api/master-data/academic-terms/{id:int}/lock,false,true,,AcademicOperations,"","ApiResponseDto","IAcademicTermService","IAcademicTermService::LockAsync",""
EP-8A9D57D5,AcademicTermsController,Unlock,PATCH,/api/master-data/academic-terms/{id:int}/unlock,false,true,,AcademicOperations,"","ApiResponseDto","IAcademicTermService","IAcademicTermService::UnlockAsync",""
EP-414446CE,AccountController,GetMe,GET,/api/account/me,false,true,,,"","AccountProfileResponse","IAccountService","IAccountService::GetProfileAsync",""
EP-B7D0DB90,AccountController,UpdateProfile,PUT,/api/account/profile,false,true,,,"UpdateProfileRequest","AccountProfileResponse","IAccountService","IAccountService::UpdateProfileAsync",""
EP-CE511EFE,AccountController,ChangePassword,PUT,/api/account/change-password,false,true,,,"ChangePasswordRequest","IActionResult","IAccountService","IAccountService::ChangePasswordAsync",""
EP-2CF00A69,AccountManagementExampleController,GetAccounts,GET,/api/admin/accounts,false,true,Admin|SuperAdmin|CampusAdmin,,"","IActionResult","","",""
EP-A8BCA528,AdminApplicationReportsController,GetOverview,GET,/api/admin/applications/reports/overview,false,true,,ApplicationQueueRead,"ApplicationReportQueryParameters","ApiResponseDto","IApplicationReportService","IApplicationReportService::GetOverviewAsync",""
EP-48C34D04,AdminApplicationReportsController,GetByType,GET,/api/admin/applications/reports/by-type,false,true,,ApplicationQueueRead,"ApplicationReportQueryParameters","ApiResponseDto","IApplicationReportService","IApplicationReportService::GetByTypeAsync",""
EP-D918D722,AdminApplicationReportsController,GetPending,GET,/api/admin/applications/reports/pending,false,true,,ApplicationQueueRead,"PendingApplicationReportQuery","ApiResponseDto","IApplicationReportService","IApplicationReportService::GetPendingAsync",""
EP-46019531,AdminApplicationReportsController,GetOverdue,GET,/api/admin/applications/reports/overdue,false,true,,ApplicationQueueRead,"OverdueApplicationReportQuery","ApiResponseDto","IApplicationReportService","IApplicationReportService::GetOverdueAsync",""
EP-C25E145C,AdminApplicationReportsController,GetProcessingTime,GET,/api/admin/applications/reports/processing-time,false,true,,ApplicationQueueRead,"ApplicationReportQueryParameters","ApiResponseDto","IApplicationReportService","IApplicationReportService::GetProcessingTimeAsync",""
EP-AE259E23,AdminApplicationReportsController,GetByAssignee,GET,/api/admin/applications/reports/by-assignee,false,true,,ApplicationQueueRead,"ApplicationReportQueryParameters","ApiResponseDto","IApplicationReportService","IApplicationReportService::GetByAssigneeAsync",""
EP-9BF94F28,AdminApplicationReportsController,GetTrends,GET,/api/admin/applications/reports/trends,false,true,,ApplicationQueueRead,"ApplicationTrendQuery","ApiResponseDto","IApplicationReportService","IApplicationReportService::GetTrendsAsync",""
EP-735FF0F7,AdminApplicationsController,GetQueue,GET,/api/admin/applications,false,true,,ApplicationQueueRead,"AdminApplicationQueryParameters","ApiResponseDto","IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService","IApplicationAdminQueueService::GetQueueAsync",""
EP-8917BF03,AdminApplicationsController,GetQueueSummary,GET,/api/admin/applications/queue-summary,false,true,,ApplicationQueueRead,"AdminApplicationQueryParameters","ApiResponseDto","IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService","IApplicationAdminQueueService::GetQueueSummaryAsync",""
EP-516F1050,AdminApplicationsController,GetReportOverview,GET,/api/admin/applications/reports/overview,false,true,,ApplicationQueueRead,"ApplicationReportQueryParameters","ApiResponseDto","IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService","IApplicationReportService::GetOverviewAsync",""
