Controller|BaseRoute|Action|HttpMethod|Endpoint|Authorize|Roles|Policy|AllowAnonymous|RequestDto|ResponseDto|InjectedServices
AcademicSchedulingContextController|api/academic-scheduling/context|GetContext|GET|api/academic-scheduling/context|Yes||AcademicOperations|False||ActionResult<ApiResponseDto<AcademicSchedulingContextDto>>|IAcademicSchedulingContextService
AcademicTermsController|api/master-data/academic-terms|GetTerms|GET|api/master-data/academic-terms|Yes||AcademicOperations|False||ActionResult<ApiResponseDto<PagedResultDto<AcademicTermDto>>>|IAcademicTermService
AcademicTermsController|api/master-data/academic-terms|GetById|GET|api/master-data/academic-terms/{id:int}|Yes||AcademicOperations|False||ActionResult<ApiResponseDto<AcademicTermDto>>|IAcademicTermService
AcademicTermsController|api/master-data/academic-terms|Create|POST|api/master-data/academic-terms|Yes||AcademicOperations|False|CreateAcademicTermRequest|ActionResult<ApiResponseDto<AcademicTermDto>>|IAcademicTermService
AcademicTermsController|api/master-data/academic-terms|Update|PUT|api/master-data/academic-terms/{id:int}|Yes||AcademicOperations|False|UpdateAcademicTermRequest|ActionResult<ApiResponseDto<AcademicTermDto>>|IAcademicTermService
AcademicTermsController|api/master-data/academic-terms|Delete|DELETE|api/master-data/academic-terms/{id:int}|Yes||AcademicOperations|False||ActionResult<ApiResponseDto>|IAcademicTermService
AcademicTermsController|api/master-data/academic-terms|Lock|PATCH|api/master-data/academic-terms/{id:int}/lock|Yes||AcademicOperations|False||ActionResult<ApiResponseDto<AcademicTermDto>>|IAcademicTermService
AcademicTermsController|api/master-data/academic-terms|Unlock|PATCH|api/master-data/academic-terms/{id:int}/unlock|Yes||AcademicOperations|False||ActionResult<ApiResponseDto<AcademicTermDto>>|IAcademicTermService
AccountController|api/account|GetMe|GET|api/account/me|Yes|||False||ActionResult<AccountProfileResponse>|IAccountService
AccountController|api/account|UpdateProfile|PUT|api/account/profile|Yes|||False|UpdateProfileRequest|ActionResult<AccountProfileResponse>|IAccountService
AccountController|api/account|ChangePassword|PUT|api/account/change-password|Yes|||False|ChangePasswordRequest|IActionResult|IAccountService
AccountManagementExampleController|api/admin/accounts|GetAccounts|GET|api/admin/accounts|Yes|$"{AuthRoles.Admin},{AuthRoles.SuperAdmin},{AuthRoles.CampusAdmin}||False|||
AdminApplicationReportsController|api/admin/applications/reports|GetOverview|GET|api/admin/applications/reports/overview|Yes||AuthPolicies.ApplicationQueueRead|False||ActionResult<ApiResponseDto<ApplicationReportOverviewDto>>|IApplicationReportService
AdminApplicationReportsController|api/admin/applications/reports|GetByType|GET|api/admin/applications/reports/by-type|Yes||AuthPolicies.ApplicationQueueRead|False||ActionResult<ApiResponseDto<List<ApplicationByTypeReportDto>>>|IApplicationReportService
AdminApplicationReportsController|api/admin/applications/reports|GetPending|GET|api/admin/applications/reports/pending|Yes||AuthPolicies.ApplicationQueueRead|False|PendingApplicationReportQuery|ActionResult<ApiResponseDto<PendingApplicationReportDto>>|IApplicationReportService
AdminApplicationReportsController|api/admin/applications/reports|GetOverdue|GET|api/admin/applications/reports/overdue|Yes||AuthPolicies.ApplicationQueueRead|False|OverdueApplicationReportQuery|ActionResult<ApiResponseDto<OverdueApplicationReportDto>>|IApplicationReportService
AdminApplicationReportsController|api/admin/applications/reports|GetProcessingTime|GET|api/admin/applications/reports/processing-time|Yes||AuthPolicies.ApplicationQueueRead|False||ActionResult<ApiResponseDto<ProcessingTimeReportDto>>|IApplicationReportService
AdminApplicationReportsController|api/admin/applications/reports|GetByAssignee|GET|api/admin/applications/reports/by-assignee|Yes||AuthPolicies.ApplicationQueueRead|False||ActionResult<ApiResponseDto<List<ApplicationByAssigneeReportDto>>>|IApplicationReportService
AdminApplicationReportsController|api/admin/applications/reports|GetTrends|GET|api/admin/applications/reports/trends|Yes||AuthPolicies.ApplicationQueueRead|False|ApplicationTrendQuery|ActionResult<ApiResponseDto<ApplicationTrendReportDto>>|IApplicationReportService
AdminApplicationsController|api/admin/applications|GetQueue|GET|api/admin/applications|Yes||AuthPolicies.ApplicationQueueRead|False||ActionResult<ApiResponseDto<AdminApplicationQueueResponseDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|GetQueueSummary|GET|api/admin/applications/queue-summary|Yes||AuthPolicies.ApplicationQueueRead|False||ActionResult<ApiResponseDto<AdminApplicationQueueSummaryDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|GetReportOverview|GET|api/admin/applications/reports/overview|Yes||AuthPolicies.ApplicationQueueRead|False||ActionResult<ApiResponseDto<ApplicationReportOverviewDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|GetAssignees|GET|api/admin/applications/assignees|Yes||AuthPolicies.ApplicationAssignmentManage|False||ActionResult<ApiResponseDto<AdminApplicationAssigneeResponseDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|GetDetail|GET|api/admin/applications/{applicationId:int}|Yes||AuthPolicies.ApplicationQueueRead|False||ActionResult<ApiResponseDto<AdminApplicationDetailDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|Receive|POST|api/admin/applications/{applicationId:int}/receive|Yes||AuthPolicies.ApplicationReceive|False|AdminApplicationReceiveRequest|ActionResult<ApiResponseDto<AdminApplicationDetailDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|Assign|POST|api/admin/applications/{applicationId:int}/assign|Yes||AuthPolicies.ApplicationAssignmentManage|False|AdminApplicationAssignRequest|ActionResult<ApiResponseDto<AdminApplicationDetailDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|RequestSupplement|POST|api/admin/applications/{applicationId:int}/request-supplement|Yes||AuthPolicies.ApplicationReviewOperate|False|AdminApplicationRequestSupplementRequest|ActionResult<ApiResponseDto<AdminApplicationDetailDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|Approve|POST|api/admin/applications/{applicationId:int}/approve|Yes||AuthPolicies.ApplicationSensitiveDecision|False|AdminApplicationApproveRequest|ActionResult<ApiResponseDto<AdminApplicationDetailDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|Reject|POST|api/admin/applications/{applicationId:int}/reject|Yes||AuthPolicies.ApplicationSensitiveDecision|False|AdminApplicationRejectRequest|ActionResult<ApiResponseDto<AdminApplicationDetailDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|Process|POST|api/admin/applications/{applicationId:int}/process|Yes||AuthPolicies.ApplicationProcessingOperate|False|AdminApplicationProcessRequest|ActionResult<ApiResponseDto<AdminApplicationDetailDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|RecordProcessingResult|POST|api/admin/applications/{applicationId:int}/record-processing-result|Yes||AuthPolicies.ApplicationProcessingOperate|False|AdminApplicationRecordProcessingResultRequest|ActionResult<ApiResponseDto<AdminApplicationDetailDto>>|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminApplicationsController|api/admin/applications|DownloadAttachment|GET|api/admin/applications/{applicationId:int}/attachments/{attachmentId:int}/download|Yes||AuthPolicies.ApplicationQueueRead|False||IActionResult|IApplicationAdminQueueService,IApplicationAssignmentService,IApplicationAdminEvidenceService,IApplicationDecisionService,IApplicationPostApprovalProcessingService,IApplicationReportService
AdminCertificateTemplatesController|api/admin/certificate-templates|Get|GET|api/admin/certificate-templates|Yes|AuthRoles.SuperAdmin||False||ActionResult<ApiResponseDto<PagedResultDto<CertificateTemplateDto>>>|ICertificateTemplateService
AdminCertificateTemplatesController|api/admin/certificate-templates|GetById|GET|api/admin/certificate-templates/{id:int}|Yes|AuthRoles.SuperAdmin||False||ActionResult<ApiResponseDto<CertificateTemplateDto>>|ICertificateTemplateService
AdminCertificateTemplatesController|api/admin/certificate-templates|Create|POST|api/admin/certificate-templates|Yes|AuthRoles.SuperAdmin||False|CreateCertificateTemplateRequest|ActionResult<ApiResponseDto<CertificateTemplateDto>>|ICertificateTemplateService
AdminCertificateTemplatesController|api/admin/certificate-templates|Update|PUT|api/admin/certificate-templates/{id:int}|Yes|AuthRoles.SuperAdmin||False|UpdateCertificateTemplateRequest|ActionResult<ApiResponseDto<CertificateTemplateDto>>|ICertificateTemplateService
AdminCertificateTemplatesController|api/admin/certificate-templates|Disable|DELETE|api/admin/certificate-templates/{id:int}|Yes|AuthRoles.SuperAdmin||False||ActionResult<ApiResponseDto<CertificateTemplateDto>>|ICertificateTemplateService
AdminCertificateTemplatesController|api/admin/certificate-templates|Preview|POST|api/admin/certificate-templates/{id:int}/preview|Yes|AuthRoles.SuperAdmin||False|CertificateTemplatePreviewRequest|ActionResult<ApiResponseDto<CertificateTemplatePreviewDto>>|ICertificateTemplateService
AdminClassesController|api/admin/classes|GetClasses|GET|api/admin/classes|Yes||AcademicOperations|False||ActionResult<ApiResponseDto<PagedResultDto<AdminClassDto>>>|IAdministrativeClassService
AdminClassesController|api/admin/classes|GetById|GET|api/admin/classes/{id:int}|Yes||AcademicOperations|False||ActionResult<ApiResponseDto<AdminClassDto>>|IAdministrativeClassService
AdminClassesController|api/admin/classes|Create|POST|api/admin/classes|Yes||AcademicOperations|False|CreateAdminClassRequest|ActionResult<ApiResponseDto<AdminClassDto>>|IAdministrativeClassService
AdminClassesController|api/admin/classes|Update|PUT|api/admin/classes/{id:int}|Yes||AcademicOperations|False|UpdateAdminClassRequest|ActionResult<ApiResponseDto<AdminClassDto>>|IAdministrativeClassService
AdminClassesController|api/admin/classes|Delete|DELETE|api/admin/classes/{id:int}|Yes||AcademicOperations|False||ActionResult<ApiResponseDto>|IAdministrativeClassService
AdminClassesController|api/admin/classes|BulkAssignClasses|POST|api/admin/classes/bulk-assign|Yes||AcademicOperations|False|BulkAssignClassesRequest|ActionResult<ApiResponseDto<List<AdminClassDto>>>|IAdministrativeClassService
AdminDisciplineAppealsController|api/admin/discipline-appeals|GetAppeals|GET|api/admin/discipline-appeals|Yes|$"{AuthRoles.SuperAdmin},{AuthRoles.AcademicStaff}||False||ActionResult<PagedResultDto<DisciplineAppealListItemDto>>|IDisciplineAppealService,IRewardDisciplineNotificationService
AdminDisciplineAppealsController|api/admin/discipline-appeals|GetAppealDetail|GET|api/admin/discipline-appeals/{id}|Yes|$"{AuthRoles.SuperAdmin},{AuthRoles.AcademicStaff}||False||ActionResult<DisciplineAppealDetailDto>|IDisciplineAppealService,IRewardDisciplineNotificationService
AdminDisciplineAppealsController|api/admin/discipline-appeals|ResolveAppeal|POST|api/admin/discipline-appeals/{id}/resolve|Yes|$"{AuthRoles.SuperAdmin},{AuthRoles.AcademicStaff}||False|ResolveDisciplineAppealRequest|ActionResult<DisciplineAppealDetailDto>|IDisciplineAppealService,IRewardDisciplineNotificationService
AdminDisciplineAppealsController|api/admin/discipline-appeals|ResendNotificationAsync|POST|api/admin/discipline-appeals/{appealId}/notifications/resend|Yes|AuthRoles.SuperAdmin||False|ResendNotificationRequest|IActionResult|IDisciplineAppealService,IRewardDisciplineNotificationService
AdminDisciplineRecordsController|api/admin/discipline-records|GetRecords|GET|api/admin/discipline-records|Yes|$"{AuthRoles.SuperAdmin},{AuthRoles.Admin},{AuthRoles.CampusAdmin}||False||ActionResult<PagedResultDto<DisciplineRecordListItemDto>>|IDisciplineRecordService,IRewardDisciplineNotificationService
